function_name,param_names,param_types,is_optional,return_type,documentation_length
tf.image.flip_left_right,['image'],['batch'],[False],tensor,233
tf.image.adjust_contrast,"['images', 'contrast_factor']","['images', 'float']","[False, False]",image,336
tf.image.grayscale_to_rgb,"['images', 'name']","['tensor', 'name']","[False, True]",image,227
tf.image.adjust_brightness,"['image', 'delta']","['image', 'amount']","[False, False]",tensor,325
tf.image.flip_up_down,['image'],['batch'],[False],tensor,233
tf.image.rgb_to_hsv,"['images', 'name']","['tensor', 'name']","[False, True]",tensor,371
tf.image.ssim_multiscale,"['img1', 'img2', 'max_val', 'power_factors', 'filter_size', 'filter_sigma', 'k1', 'k2']","['batch', 'batch', 'difference', 'corresponds', 'default', 'default', 'default', 'default']","[False, False, False, False, False, False, False, False]",tensor,463
tf.image.non_max_suppression_overlaps,"['overlaps', 'scores', 'max_output_size', 'overlap_threshold', 'score_threshold', 'name']","['tensor', 'tensor', 'tensor', 'tensor', 'tensor', 'name']","[False, False, False, False, False, True]",tensor,375
tf.image.random_hue,"['image', 'max_delta', 'seed']","['dimension', 'float', 'conjunction']","[False, False, False]",image,380
tf.image.pad_to_bounding_box,"['image', 'offset_height', 'offset_width', 'target_height', 'target_width']","['batch', 'number', 'columns', 'height', 'image']","[False, False, False, False, False]",image,388
tf.image.random_crop,"['value', 'size', 'seed', 'name']","['tensor', 'tensor', 'behavior', 'name']","[False, False, False, True]",tensor,346
tf.image.draw_bounding_boxes,"['images', 'boxes', 'colors', 'name']","['tensor', 'tensor', 'tensor', 'name']","[False, False, False, True]",tensor,455
tf.image.sample_distorted_bounding_box,"['image_size', 'bounding_boxes', 'seed', 'min_object_covered', 'aspect_ratio_range', 'area_range', 'max_attempts', 'use_image_if_no_bounding_boxes', 'name']","['tensor', 'tensor', 'int', 'float32', 'floats', 'floats', 'int', 'bool', 'name']","[False, False, True, False, True, True, True, True, True]",tensor,1040
tf.image.random_flip_up_down,"['image', 'seed']","['batch', 'behavior']","[False, False]",tensor,492
